Overriding config with config/train_aurebours_char.py:
# train a miniature character-level small GPT

out_dir = 'out-aurebours-char'
eval_interval = 120 # keep frequent because we'll overfit
eval_iters = 20
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like

dataset = 'aurebours_char'
gradient_accumulation_steps = 1
batch_size = 10
block_size = 32 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 3
n_head = 4
n_embd = 64
dropout = 0.01

learning_rate = 2.5e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 50 # not super necessary potentially

device = 'cpu'  # run on cpu only
compile = False # do not torch compile the model


tokens per iteration will be: 320
found vocab_size = 94 (inside data/aurebours_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.15M
num decayed parameter tensors: 14, with 155,520 parameters
num non-decayed parameter tensors: 7, with 448 parameters
using fused AdamW: False
step 0: train loss 4.5374, val loss 4.5392
iter 0: loss 4.5506, time 145.67ms, mfu -100.00%
iter 1: loss 4.5197, time 22.95ms, mfu -100.00%
iter 2: loss 4.4943, time 26.37ms, mfu -100.00%
iter 3: loss 4.4422, time 25.22ms, mfu -100.00%
iter 4: loss 4.3788, time 22.84ms, mfu -100.00%
iter 5: loss 4.3145, time 23.32ms, mfu 0.00%
iter 6: loss 4.2610, time 22.23ms, mfu 0.00%
iter 7: loss 4.2097, time 21.80ms, mfu 0.00%
iter 8: loss 4.1901, time 31.32ms, mfu 0.00%
iter 9: loss 4.1438, time 11.23ms, mfu 0.00%
iter 10: loss 4.1053, time 11.49ms, mfu 0.01%
iter 11: loss 4.0646, time 30.61ms, mfu 0.01%
iter 12: loss 4.0098, time 11.45ms, mfu 0.01%
iter 13: loss 3.9962, time 11.86ms, mfu 0.01%
iter 14: loss 3.9711, time 11.02ms, mfu 0.01%
iter 15: loss 3.9022, time 12.13ms, mfu 0.01%
iter 16: loss 3.8564, time 31.82ms, mfu 0.01%
iter 17: loss 3.7859, time 34.53ms, mfu 0.01%
iter 18: loss 3.7434, time 31.36ms, mfu 0.01%
iter 19: loss 3.6984, time 32.73ms, mfu 0.01%
iter 20: loss 3.6327, time 17.21ms, mfu 0.01%
iter 21: loss 3.5772, time 16.79ms, mfu 0.01%
iter 22: loss 3.5373, time 33.64ms, mfu 0.01%
iter 23: loss 3.4902, time 31.32ms, mfu 0.00%
iter 24: loss 3.4779, time 11.09ms, mfu 0.01%
iter 25: loss 3.3763, time 10.47ms, mfu 0.01%
iter 26: loss 3.3221, time 11.88ms, mfu 0.01%
iter 27: loss 3.2464, time 11.82ms, mfu 0.01%
iter 28: loss 3.2656, time 10.59ms, mfu 0.01%
iter 29: loss 3.2342, time 12.85ms, mfu 0.01%
iter 30: loss 3.3165, time 13.05ms, mfu 0.01%
iter 31: loss 3.1098, time 13.28ms, mfu 0.01%
iter 32: loss 3.1232, time 11.56ms, mfu 0.01%
iter 33: loss 3.1360, time 13.20ms, mfu 0.01%
iter 34: loss 3.1772, time 14.06ms, mfu 0.01%
iter 35: loss 3.1061, time 13.34ms, mfu 0.01%
iter 36: loss 3.0426, time 12.83ms, mfu 0.01%
iter 37: loss 3.0171, time 12.33ms, mfu 0.01%
iter 38: loss 3.0490, time 34.91ms, mfu 0.01%
iter 39: loss 3.0715, time 31.90ms, mfu 0.01%
iter 40: loss 3.0701, time 13.59ms, mfu 0.01%
iter 41: loss 3.0407, time 13.54ms, mfu 0.01%
iter 42: loss 3.1067, time 11.62ms, mfu 0.01%
iter 43: loss 6.2971, time 10.42ms, mfu 0.01%
iter 44: loss 3.1628, time 11.61ms, mfu 0.01%
iter 45: loss 3.0444, time 11.87ms, mfu 0.01%
iter 46: loss 3.0071, time 10.65ms, mfu 0.01%
iter 47: loss 2.9638, time 11.66ms, mfu 0.01%
iter 48: loss 3.0387, time 11.38ms, mfu 0.01%
iter 49: loss 3.0456, time 10.70ms, mfu 0.01%
iter 50: loss 2.9738, time 11.64ms, mfu 0.01%
iter 51: loss 2.9567, time 11.42ms, mfu 0.01%
iter 52: loss 3.1232, time 10.68ms, mfu 0.01%
iter 53: loss 2.9225, time 12.26ms, mfu 0.01%
iter 54: loss 2.8913, time 11.58ms, mfu 0.01%
iter 55: loss 2.8235, time 12.24ms, mfu 0.01%
iter 56: loss 2.9915, time 12.71ms, mfu 0.01%
iter 57: loss 2.7574, time 12.17ms, mfu 0.01%
iter 58: loss 2.8291, time 12.06ms, mfu 0.01%
iter 59: loss 2.9650, time 12.09ms, mfu 0.01%
iter 60: loss 2.8232, time 31.14ms, mfu 0.01%
iter 61: loss 2.8546, time 47.66ms, mfu 0.01%
iter 62: loss 2.8433, time 14.35ms, mfu 0.01%
iter 63: loss 2.7950, time 23.68ms, mfu 0.01%
iter 64: loss 2.7068, time 34.04ms, mfu 0.01%
iter 65: loss 2.7875, time 30.79ms, mfu 0.01%
iter 66: loss 2.7775, time 11.57ms, mfu 0.01%
iter 67: loss 2.6848, time 11.13ms, mfu 0.01%
iter 68: loss 2.7362, time 10.53ms, mfu 0.01%
iter 69: loss 2.8238, time 11.67ms, mfu 0.01%
iter 70: loss 2.6819, time 11.42ms, mfu 0.01%
iter 71: loss 2.7294, time 11.28ms, mfu 0.01%
iter 72: loss 2.7186, time 11.37ms, mfu 0.01%
iter 73: loss 2.7649, time 11.24ms, mfu 0.01%
iter 74: loss 2.8641, time 11.17ms, mfu 0.01%
iter 75: loss 2.7181, time 12.04ms, mfu 0.01%
iter 76: loss 2.8177, time 11.70ms, mfu 0.01%
iter 77: loss 2.7387, time 11.20ms, mfu 0.01%
iter 78: loss 2.6220, time 10.86ms, mfu 0.01%
iter 79: loss 2.7182, time 11.54ms, mfu 0.01%
iter 80: loss 2.7141, time 10.81ms, mfu 0.01%
iter 81: loss 2.6551, time 11.11ms, mfu 0.01%
iter 82: loss 2.7030, time 11.03ms, mfu 0.01%
iter 83: loss 2.6576, time 13.66ms, mfu 0.01%
iter 84: loss 2.6670, time 30.34ms, mfu 0.01%
iter 85: loss 2.6779, time 29.96ms, mfu 0.01%
iter 86: loss 2.6843, time 11.42ms, mfu 0.01%
iter 87: loss 2.6480, time 10.80ms, mfu 0.01%
iter 88: loss 2.7103, time 10.46ms, mfu 0.01%
iter 89: loss 2.6584, time 13.20ms, mfu 0.01%
iter 90: loss 2.6426, time 10.82ms, mfu 0.01%
iter 91: loss 2.6410, time 10.37ms, mfu 0.01%
iter 92: loss 2.4877, time 11.66ms, mfu 0.01%
iter 93: loss 2.7150, time 11.10ms, mfu 0.01%
iter 94: loss 2.6994, time 10.73ms, mfu 0.01%
iter 95: loss 2.6524, time 11.42ms, mfu 0.01%
iter 96: loss 2.6739, time 11.02ms, mfu 0.01%
iter 97: loss 2.6363, time 11.05ms, mfu 0.01%
iter 98: loss 2.5150, time 12.16ms, mfu 0.01%
iter 99: loss 2.5575, time 10.72ms, mfu 0.01%
iter 100: loss 2.6023, time 11.12ms, mfu 0.01%
iter 101: loss 2.5878, time 11.52ms, mfu 0.01%
iter 102: loss 2.5472, time 11.31ms, mfu 0.01%
iter 103: loss 2.6052, time 10.74ms, mfu 0.01%
iter 104: loss 2.4657, time 11.51ms, mfu 0.01%
iter 105: loss 2.4140, time 11.60ms, mfu 0.01%
iter 106: loss 2.5030, time 14.16ms, mfu 0.01%
iter 107: loss 2.5052, time 10.62ms, mfu 0.01%
iter 108: loss 2.6069, time 11.55ms, mfu 0.01%
iter 109: loss 2.5795, time 11.67ms, mfu 0.01%
iter 110: loss 2.5307, time 30.95ms, mfu 0.01%
iter 111: loss 2.6776, time 11.02ms, mfu 0.01%
iter 112: loss 2.5779, time 11.55ms, mfu 0.01%
iter 113: loss 2.4436, time 11.58ms, mfu 0.01%
iter 114: loss 2.5271, time 11.44ms, mfu 0.01%
iter 115: loss 2.6822, time 11.57ms, mfu 0.01%
iter 116: loss 2.7582, time 11.25ms, mfu 0.01%
iter 117: loss 2.5031, time 11.03ms, mfu 0.01%
iter 118: loss 2.6338, time 11.56ms, mfu 0.01%
iter 119: loss 2.4776, time 11.34ms, mfu 0.01%
step 120: train loss 2.5484, val loss 2.5796
saving checkpoint to out-aurebours-char
iter 120: loss 2.6324, time 129.58ms, mfu 0.01%
iter 121: loss 2.6862, time 17.41ms, mfu 0.01%
iter 122: loss 2.5730, time 32.51ms, mfu 0.01%
iter 123: loss 2.4903, time 11.88ms, mfu 0.01%
iter 124: loss 2.6062, time 30.63ms, mfu 0.01%
iter 125: loss 2.6376, time 30.68ms, mfu 0.01%
iter 126: loss 2.5268, time 30.02ms, mfu 0.01%
iter 127: loss 2.5817, time 30.89ms, mfu 0.01%
iter 128: loss 2.6113, time 30.92ms, mfu 0.01%
iter 129: loss 2.5293, time 11.48ms, mfu 0.01%
iter 130: loss 2.5314, time 11.60ms, mfu 0.01%
iter 131: loss 2.6304, time 11.11ms, mfu 0.01%
iter 132: loss 2.4747, time 11.11ms, mfu 0.01%
iter 133: loss 2.6518, time 11.90ms, mfu 0.01%
iter 134: loss 2.5044, time 11.01ms, mfu 0.01%
iter 135: loss 2.5557, time 32.43ms, mfu 0.01%
iter 136: loss 2.5706, time 34.90ms, mfu 0.01%
iter 137: loss 2.4534, time 13.66ms, mfu 0.01%
iter 138: loss 2.4344, time 14.02ms, mfu 0.01%
iter 139: loss 2.5499, time 30.29ms, mfu 0.01%
iter 140: loss 2.4428, time 11.61ms, mfu 0.01%
iter 141: loss 2.5840, time 10.55ms, mfu 0.01%
iter 142: loss 2.4942, time 12.05ms, mfu 0.01%
iter 143: loss 2.5660, time 11.67ms, mfu 0.01%
iter 144: loss 2.4561, time 11.44ms, mfu 0.01%
iter 145: loss 2.5153, time 32.64ms, mfu 0.01%
iter 146: loss 2.5012, time 33.46ms, mfu 0.01%
iter 147: loss 2.4905, time 30.64ms, mfu 0.01%
iter 148: loss 2.5548, time 33.28ms, mfu 0.01%
iter 149: loss 2.5367, time 30.08ms, mfu 0.01%
iter 150: loss 2.5833, time 11.82ms, mfu 0.01%
