Overriding config with config/train_capote_char.py:
# train a miniature character-level small GPT

out_dir = 'out-capote-char'
eval_interval = 120 # keep frequent because we'll overfit
eval_iters = 20
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like

dataset = 'capote_char'
gradient_accumulation_steps = 1
batch_size = 10
block_size = 32 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 3
n_head = 4
n_embd = 64
dropout = 0.01

learning_rate = 2.5e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 50 # not super necessary potentially

device = 'cpu'  # run on cpu only
compile = False # do not torch compile the model


tokens per iteration will be: 320
found vocab_size = 87 (inside data/capote_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.15M
num decayed parameter tensors: 14, with 155,072 parameters
num non-decayed parameter tensors: 7, with 448 parameters
using fused AdamW: False
step 0: train loss 4.4621, val loss 4.4658
iter 0: loss 4.4738, time 211.81ms, mfu -100.00%
iter 1: loss 4.4529, time 11.55ms, mfu -100.00%
iter 2: loss 4.4190, time 11.40ms, mfu -100.00%
iter 3: loss 4.3829, time 10.88ms, mfu -100.00%
iter 4: loss 4.3574, time 10.94ms, mfu -100.00%
iter 5: loss 4.2776, time 12.02ms, mfu 0.01%
iter 6: loss 4.2021, time 11.16ms, mfu 0.01%
iter 7: loss 4.1292, time 11.00ms, mfu 0.01%
iter 8: loss 4.1307, time 13.74ms, mfu 0.01%
iter 9: loss 4.0927, time 14.25ms, mfu 0.01%
iter 10: loss 4.0391, time 15.14ms, mfu 0.01%
iter 11: loss 4.0013, time 14.88ms, mfu 0.01%
iter 12: loss 3.9845, time 15.88ms, mfu 0.01%
iter 13: loss 3.9437, time 14.75ms, mfu 0.01%
iter 14: loss 3.9190, time 15.20ms, mfu 0.01%
iter 15: loss 3.8211, time 16.15ms, mfu 0.01%
iter 16: loss 3.8235, time 14.67ms, mfu 0.01%
iter 17: loss 3.7798, time 14.79ms, mfu 0.01%
iter 18: loss 3.7164, time 15.01ms, mfu 0.01%
iter 19: loss 3.6480, time 34.25ms, mfu 0.01%
iter 20: loss 3.6445, time 17.08ms, mfu 0.01%
iter 21: loss 3.5299, time 14.66ms, mfu 0.01%
iter 22: loss 3.5574, time 16.13ms, mfu 0.01%
iter 23: loss 3.4833, time 14.64ms, mfu 0.01%
iter 24: loss 3.5151, time 15.01ms, mfu 0.01%
iter 25: loss 3.3864, time 18.22ms, mfu 0.01%
iter 26: loss 3.4413, time 15.49ms, mfu 0.01%
iter 27: loss 3.3071, time 15.03ms, mfu 0.01%
iter 28: loss 3.3686, time 16.03ms, mfu 0.01%
iter 29: loss 3.2440, time 16.79ms, mfu 0.01%
iter 30: loss 3.2180, time 33.52ms, mfu 0.01%
iter 31: loss 3.2276, time 30.94ms, mfu 0.01%
iter 32: loss 3.2523, time 31.29ms, mfu 0.01%
iter 33: loss 3.2370, time 29.75ms, mfu 0.01%
iter 34: loss 3.2142, time 11.56ms, mfu 0.01%
iter 35: loss 3.2229, time 11.39ms, mfu 0.01%
iter 36: loss 3.1668, time 11.56ms, mfu 0.01%
iter 37: loss 3.2034, time 12.46ms, mfu 0.01%
iter 38: loss 3.1442, time 11.79ms, mfu 0.01%
iter 39: loss 3.1898, time 10.66ms, mfu 0.01%
iter 40: loss 3.0799, time 10.77ms, mfu 0.01%
iter 41: loss 3.0814, time 11.75ms, mfu 0.01%
iter 42: loss 3.1967, time 10.89ms, mfu 0.01%
iter 43: loss 3.2613, time 10.90ms, mfu 0.01%
iter 44: loss 3.0923, time 11.65ms, mfu 0.01%
iter 45: loss 3.1933, time 10.61ms, mfu 0.01%
iter 46: loss 3.1558, time 10.80ms, mfu 0.01%
iter 47: loss 3.0557, time 11.65ms, mfu 0.01%
iter 48: loss 3.0170, time 10.98ms, mfu 0.01%
iter 49: loss 3.0734, time 10.67ms, mfu 0.01%
iter 50: loss 3.0570, time 11.73ms, mfu 0.01%
iter 51: loss 3.0372, time 11.25ms, mfu 0.01%
iter 52: loss 2.9584, time 11.01ms, mfu 0.01%
iter 53: loss 2.9090, time 12.46ms, mfu 0.01%
iter 54: loss 2.9307, time 10.96ms, mfu 0.01%
iter 55: loss 2.9443, time 10.84ms, mfu 0.01%
iter 56: loss 3.0138, time 11.41ms, mfu 0.01%
iter 57: loss 2.9264, time 10.73ms, mfu 0.01%
iter 58: loss 2.9640, time 10.59ms, mfu 0.01%
iter 59: loss 3.0284, time 13.35ms, mfu 0.01%
iter 60: loss 2.8064, time 11.70ms, mfu 0.01%
iter 61: loss 2.9059, time 11.40ms, mfu 0.01%
iter 62: loss 2.9397, time 15.47ms, mfu 0.01%
iter 63: loss 2.8536, time 11.72ms, mfu 0.01%
iter 64: loss 2.9046, time 12.08ms, mfu 0.01%
iter 65: loss 2.8026, time 10.90ms, mfu 0.01%
iter 66: loss 2.7315, time 11.05ms, mfu 0.01%
iter 67: loss 2.8431, time 12.11ms, mfu 0.01%
iter 68: loss 2.7401, time 10.65ms, mfu 0.01%
iter 69: loss 2.8177, time 10.84ms, mfu 0.01%
iter 70: loss 2.8681, time 11.70ms, mfu 0.01%
iter 71: loss 2.8065, time 11.84ms, mfu 0.01%
iter 72: loss 2.8020, time 11.30ms, mfu 0.01%
iter 73: loss 2.7332, time 12.27ms, mfu 0.01%
iter 74: loss 2.8715, time 10.95ms, mfu 0.01%
iter 75: loss 2.6942, time 11.12ms, mfu 0.01%
iter 76: loss 2.9619, time 12.60ms, mfu 0.01%
iter 77: loss 2.7725, time 11.38ms, mfu 0.01%
iter 78: loss 2.7739, time 10.96ms, mfu 0.01%
iter 79: loss 2.8951, time 11.40ms, mfu 0.01%
iter 80: loss 2.7089, time 11.16ms, mfu 0.01%
iter 81: loss 2.6671, time 11.49ms, mfu 0.01%
iter 82: loss 2.7336, time 11.50ms, mfu 0.01%
iter 83: loss 2.8424, time 11.14ms, mfu 0.01%
iter 84: loss 2.6752, time 10.81ms, mfu 0.01%
iter 85: loss 2.6633, time 11.28ms, mfu 0.01%
iter 86: loss 2.8006, time 11.25ms, mfu 0.01%
iter 87: loss 2.8654, time 10.91ms, mfu 0.01%
iter 88: loss 2.6904, time 11.16ms, mfu 0.01%
iter 89: loss 2.6499, time 11.32ms, mfu 0.01%
iter 90: loss 2.6859, time 10.69ms, mfu 0.01%
iter 91: loss 2.7332, time 11.40ms, mfu 0.01%
iter 92: loss 2.8311, time 11.29ms, mfu 0.01%
iter 93: loss 2.7307, time 11.33ms, mfu 0.01%
iter 94: loss 2.7600, time 11.21ms, mfu 0.01%
iter 95: loss 2.7098, time 10.84ms, mfu 0.01%
iter 96: loss 2.6675, time 11.24ms, mfu 0.01%
iter 97: loss 2.6775, time 11.24ms, mfu 0.01%
iter 98: loss 2.6928, time 11.43ms, mfu 0.01%
iter 99: loss 2.7252, time 11.32ms, mfu 0.01%
iter 100: loss 2.6489, time 10.63ms, mfu 0.01%
iter 101: loss 2.5752, time 11.50ms, mfu 0.01%
iter 102: loss 2.4811, time 11.93ms, mfu 0.01%
iter 103: loss 2.6245, time 11.23ms, mfu 0.01%
iter 104: loss 2.7992, time 12.26ms, mfu 0.01%
iter 105: loss 2.5985, time 12.54ms, mfu 0.01%
iter 106: loss 2.6010, time 11.28ms, mfu 0.01%
iter 107: loss 2.5149, time 12.54ms, mfu 0.01%
iter 108: loss 2.6157, time 12.53ms, mfu 0.01%
iter 109: loss 2.7046, time 12.06ms, mfu 0.01%
iter 110: loss 2.7342, time 31.67ms, mfu 0.01%
iter 111: loss 2.6246, time 30.62ms, mfu 0.01%
iter 112: loss 2.7992, time 30.54ms, mfu 0.01%
iter 113: loss 2.7937, time 30.30ms, mfu 0.01%
iter 114: loss 2.6706, time 31.50ms, mfu 0.01%
iter 115: loss 2.6564, time 11.47ms, mfu 0.01%
iter 116: loss 2.6467, time 10.85ms, mfu 0.01%
iter 117: loss 2.6922, time 11.29ms, mfu 0.01%
iter 118: loss 2.7303, time 11.48ms, mfu 0.01%
iter 119: loss 2.7061, time 10.55ms, mfu 0.01%
step 120: train loss 2.6684, val loss 2.6645
saving checkpoint to out-capote-char
iter 120: loss 2.8252, time 126.67ms, mfu 0.01%
iter 121: loss 2.6647, time 11.54ms, mfu 0.01%
iter 122: loss 2.6164, time 11.42ms, mfu 0.01%
iter 123: loss 2.7110, time 11.12ms, mfu 0.01%
iter 124: loss 2.5666, time 11.50ms, mfu 0.01%
iter 125: loss 2.7269, time 11.06ms, mfu 0.01%
iter 126: loss 2.6091, time 11.30ms, mfu 0.01%
iter 127: loss 2.6118, time 12.13ms, mfu 0.01%
iter 128: loss 2.7034, time 10.89ms, mfu 0.01%
iter 129: loss 2.6001, time 11.19ms, mfu 0.01%
iter 130: loss 2.6548, time 11.92ms, mfu 0.01%
iter 131: loss 2.6559, time 11.40ms, mfu 0.01%
iter 132: loss 2.7264, time 11.16ms, mfu 0.01%
iter 133: loss 2.6765, time 12.06ms, mfu 0.01%
iter 134: loss 2.7582, time 10.88ms, mfu 0.01%
iter 135: loss 2.6349, time 11.17ms, mfu 0.01%
iter 136: loss 2.5222, time 32.67ms, mfu 0.01%
iter 137: loss 2.5153, time 32.10ms, mfu 0.01%
iter 138: loss 2.5816, time 32.88ms, mfu 0.01%
iter 139: loss 2.6963, time 19.23ms, mfu 0.01%
iter 140: loss 2.7236, time 34.04ms, mfu 0.01%
iter 141: loss 2.6513, time 31.36ms, mfu 0.01%
iter 142: loss 2.5959, time 11.46ms, mfu 0.01%
iter 143: loss 2.6105, time 13.53ms, mfu 0.01%
iter 144: loss 2.4695, time 30.08ms, mfu 0.01%
iter 145: loss 2.5337, time 11.80ms, mfu 0.01%
iter 146: loss 2.6349, time 30.77ms, mfu 0.01%
iter 147: loss 2.7070, time 10.88ms, mfu 0.01%
iter 148: loss 2.7399, time 12.62ms, mfu 0.01%
iter 149: loss 2.6335, time 29.79ms, mfu 0.01%
iter 150: loss 2.5869, time 11.77ms, mfu 0.01%
