Overriding config with config/train_capote_wordscramble_char.py:
# train a miniature character-level small GPT

out_dir = 'out-capote-wordscramble-char'
eval_interval = 120 # keep frequent because we'll overfit
eval_iters = 20
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like

dataset = 'capote_wordscramble_char'
gradient_accumulation_steps = 1
batch_size = 10
block_size = 32 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 3
n_head = 4
n_embd = 64
dropout = 0.01

learning_rate = 2.5e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 50 # not super necessary potentially

device = 'cpu'  # run on cpu only
compile = False # do not torch compile the model


tokens per iteration will be: 320
found vocab_size = 91 (inside data/capote_wordscramble_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.15M
num decayed parameter tensors: 14, with 155,328 parameters
num non-decayed parameter tensors: 7, with 448 parameters
using fused AdamW: False
step 0: train loss 4.5136, val loss 4.5141
iter 0: loss 4.5098, time 923.47ms, mfu -100.00%
iter 1: loss 4.4900, time 29.91ms, mfu -100.00%
iter 2: loss 4.4730, time 37.46ms, mfu -100.00%
iter 3: loss 4.4334, time 17.88ms, mfu -100.00%
iter 4: loss 4.3688, time 17.44ms, mfu -100.00%
iter 5: loss 4.2966, time 15.97ms, mfu 0.01%
iter 6: loss 4.2696, time 16.90ms, mfu 0.01%
iter 7: loss 4.2177, time 16.16ms, mfu 0.01%
iter 8: loss 4.1515, time 14.73ms, mfu 0.01%
iter 9: loss 4.1017, time 15.38ms, mfu 0.01%
iter 10: loss 4.1070, time 23.56ms, mfu 0.01%
iter 11: loss 4.0442, time 14.64ms, mfu 0.01%
iter 12: loss 4.0284, time 14.96ms, mfu 0.01%
iter 13: loss 3.9959, time 14.08ms, mfu 0.01%
iter 14: loss 3.9846, time 13.71ms, mfu 0.01%
iter 15: loss 3.8791, time 14.31ms, mfu 0.01%
iter 16: loss 3.8660, time 14.07ms, mfu 0.01%
iter 17: loss 3.7852, time 15.38ms, mfu 0.01%
iter 18: loss 3.7675, time 13.50ms, mfu 0.01%
iter 19: loss 3.7136, time 13.74ms, mfu 0.01%
iter 20: loss 3.6542, time 16.13ms, mfu 0.01%
iter 21: loss 3.5712, time 14.22ms, mfu 0.01%
iter 22: loss 3.5392, time 15.57ms, mfu 0.01%
iter 23: loss 3.4341, time 14.68ms, mfu 0.01%
iter 24: loss 3.4629, time 14.95ms, mfu 0.01%
iter 25: loss 3.4739, time 15.78ms, mfu 0.01%
iter 26: loss 3.3791, time 14.91ms, mfu 0.01%
iter 27: loss 3.3504, time 15.40ms, mfu 0.01%
iter 28: loss 3.3563, time 14.32ms, mfu 0.01%
iter 29: loss 3.2318, time 16.04ms, mfu 0.01%
iter 30: loss 3.2773, time 34.38ms, mfu 0.01%
iter 31: loss 3.2126, time 16.42ms, mfu 0.01%
iter 32: loss 3.1864, time 15.40ms, mfu 0.01%
iter 33: loss 3.2737, time 13.70ms, mfu 0.01%
iter 34: loss 3.2760, time 15.59ms, mfu 0.01%
iter 35: loss 3.0703, time 15.28ms, mfu 0.01%
iter 36: loss 3.0386, time 16.52ms, mfu 0.01%
iter 37: loss 3.2014, time 15.55ms, mfu 0.01%
iter 38: loss 4.3522, time 16.54ms, mfu 0.01%
iter 39: loss 3.1833, time 15.87ms, mfu 0.01%
iter 40: loss 3.2151, time 18.71ms, mfu 0.01%
iter 41: loss 3.1929, time 16.85ms, mfu 0.01%
iter 42: loss 3.2402, time 36.73ms, mfu 0.01%
iter 43: loss 3.2655, time 34.46ms, mfu 0.01%
iter 44: loss 3.0834, time 36.10ms, mfu 0.01%
iter 45: loss 3.1188, time 33.77ms, mfu 0.01%
iter 46: loss 3.1858, time 34.57ms, mfu 0.00%
iter 47: loss 3.1312, time 13.75ms, mfu 0.01%
iter 48: loss 3.1624, time 14.53ms, mfu 0.01%
iter 49: loss 3.1799, time 13.94ms, mfu 0.01%
iter 50: loss 3.0992, time 24.31ms, mfu 0.01%
iter 51: loss 3.1488, time 15.32ms, mfu 0.01%
iter 52: loss 3.2773, time 12.79ms, mfu 0.01%
iter 53: loss 3.0389, time 14.97ms, mfu 0.01%
iter 54: loss 3.1956, time 14.61ms, mfu 0.01%
iter 55: loss 3.1775, time 15.00ms, mfu 0.01%
iter 56: loss 5.1397, time 14.86ms, mfu 0.01%
iter 57: loss 3.2121, time 14.60ms, mfu 0.01%
iter 58: loss 3.0425, time 14.32ms, mfu 0.01%
iter 59: loss 3.0840, time 13.49ms, mfu 0.01%
iter 60: loss 3.1113, time 15.44ms, mfu 0.01%
iter 61: loss 3.1282, time 14.61ms, mfu 0.01%
iter 62: loss 3.0465, time 14.14ms, mfu 0.01%
iter 63: loss 3.0632, time 14.74ms, mfu 0.01%
iter 64: loss 3.0476, time 32.34ms, mfu 0.01%
iter 65: loss 3.0080, time 13.74ms, mfu 0.01%
iter 66: loss 2.9618, time 14.16ms, mfu 0.01%
iter 67: loss 2.8489, time 14.08ms, mfu 0.01%
iter 68: loss 3.0141, time 13.67ms, mfu 0.01%
iter 69: loss 2.9914, time 14.42ms, mfu 0.01%
iter 70: loss 3.0838, time 13.94ms, mfu 0.01%
iter 71: loss 3.0034, time 14.54ms, mfu 0.01%
iter 72: loss 3.0144, time 14.00ms, mfu 0.01%
iter 73: loss 2.9034, time 14.04ms, mfu 0.01%
iter 74: loss 2.9168, time 14.60ms, mfu 0.01%
iter 75: loss 2.8551, time 14.56ms, mfu 0.01%
iter 76: loss 3.0028, time 33.71ms, mfu 0.01%
iter 77: loss 3.0326, time 14.72ms, mfu 0.01%
iter 78: loss 2.9007, time 16.85ms, mfu 0.01%
iter 79: loss 2.8858, time 15.42ms, mfu 0.01%
iter 80: loss 2.9155, time 14.75ms, mfu 0.01%
iter 81: loss 2.8518, time 15.24ms, mfu 0.01%
iter 82: loss 2.9433, time 16.21ms, mfu 0.01%
iter 83: loss 2.9047, time 15.14ms, mfu 0.01%
iter 84: loss 2.9218, time 14.44ms, mfu 0.01%
iter 85: loss 2.9117, time 15.29ms, mfu 0.01%
iter 86: loss 2.9068, time 14.23ms, mfu 0.01%
iter 87: loss 2.9588, time 13.32ms, mfu 0.01%
iter 88: loss 2.9211, time 15.73ms, mfu 0.01%
iter 89: loss 2.7946, time 16.05ms, mfu 0.01%
iter 90: loss 2.8945, time 15.28ms, mfu 0.01%
iter 91: loss 2.8984, time 16.16ms, mfu 0.01%
iter 92: loss 2.8280, time 16.30ms, mfu 0.01%
iter 93: loss 2.8802, time 16.25ms, mfu 0.01%
iter 94: loss 2.7796, time 16.93ms, mfu 0.01%
iter 95: loss 3.0215, time 15.53ms, mfu 0.01%
iter 96: loss 2.8527, time 14.35ms, mfu 0.01%
iter 97: loss 2.8052, time 16.30ms, mfu 0.01%
iter 98: loss 2.7892, time 16.59ms, mfu 0.01%
iter 99: loss 2.8324, time 15.10ms, mfu 0.01%
iter 100: loss 2.8797, time 14.99ms, mfu 0.01%
iter 101: loss 2.7745, time 15.02ms, mfu 0.01%
iter 102: loss 2.7628, time 33.87ms, mfu 0.01%
iter 103: loss 2.7843, time 34.27ms, mfu 0.01%
iter 104: loss 2.7659, time 33.04ms, mfu 0.01%
iter 105: loss 2.9227, time 34.66ms, mfu 0.01%
iter 106: loss 2.8099, time 35.14ms, mfu 0.01%
iter 107: loss 2.8256, time 14.91ms, mfu 0.01%
iter 108: loss 2.7533, time 14.34ms, mfu 0.01%
iter 109: loss 2.7296, time 14.74ms, mfu 0.01%
iter 110: loss 2.6054, time 13.96ms, mfu 0.01%
iter 111: loss 2.6914, time 14.63ms, mfu 0.01%
iter 112: loss 2.7987, time 14.44ms, mfu 0.01%
iter 113: loss 2.8750, time 14.58ms, mfu 0.01%
iter 114: loss 2.6980, time 14.46ms, mfu 0.01%
iter 115: loss 2.8030, time 15.71ms, mfu 0.01%
iter 116: loss 2.7503, time 15.40ms, mfu 0.01%
iter 117: loss 2.6540, time 13.94ms, mfu 0.01%
iter 118: loss 2.6881, time 14.92ms, mfu 0.01%
iter 119: loss 2.6849, time 21.03ms, mfu 0.01%
step 120: train loss 2.7361, val loss 2.7502
saving checkpoint to out-capote-wordscramble-char
iter 120: loss 2.7113, time 171.84ms, mfu 0.01%
iter 121: loss 2.7895, time 14.52ms, mfu 0.01%
iter 122: loss 2.7632, time 13.91ms, mfu 0.01%
iter 123: loss 2.7337, time 13.65ms, mfu 0.01%
iter 124: loss 2.8648, time 14.68ms, mfu 0.01%
iter 125: loss 2.6613, time 15.22ms, mfu 0.01%
iter 126: loss 2.6059, time 13.78ms, mfu 0.01%
iter 127: loss 2.7408, time 13.91ms, mfu 0.01%
iter 128: loss 2.6561, time 13.99ms, mfu 0.01%
iter 129: loss 2.6819, time 14.70ms, mfu 0.01%
iter 130: loss 2.6755, time 13.65ms, mfu 0.01%
iter 131: loss 2.7481, time 14.31ms, mfu 0.01%
iter 132: loss 2.5575, time 34.77ms, mfu 0.01%
iter 133: loss 2.6470, time 20.09ms, mfu 0.01%
iter 134: loss 2.6364, time 20.40ms, mfu 0.01%
iter 135: loss 2.7569, time 34.53ms, mfu 0.01%
iter 136: loss 2.7172, time 34.40ms, mfu 0.01%
iter 137: loss 2.6127, time 34.74ms, mfu 0.01%
iter 138: loss 2.7100, time 16.52ms, mfu 0.01%
iter 139: loss 2.7499, time 32.75ms, mfu 0.01%
iter 140: loss 2.5927, time 15.27ms, mfu 0.01%
iter 141: loss 2.7727, time 34.98ms, mfu 0.01%
iter 142: loss 2.6381, time 15.56ms, mfu 0.01%
iter 143: loss 2.7955, time 15.34ms, mfu 0.01%
iter 144: loss 2.8035, time 38.21ms, mfu 0.01%
iter 145: loss 2.7092, time 33.76ms, mfu 0.00%
iter 146: loss 2.7502, time 34.69ms, mfu 0.00%
iter 147: loss 2.6996, time 35.24ms, mfu 0.00%
iter 148: loss 2.6286, time 15.51ms, mfu 0.00%
iter 149: loss 2.6564, time 15.09ms, mfu 0.00%
