Overriding config with config/train_hawaiian_char.py:
# train a miniature character-level small GPT

out_dir = 'out-hawaiian-char'
eval_interval = 120 # keep frequent because we'll overfit
eval_iters = 20
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like

dataset = 'hawaiian_char'
gradient_accumulation_steps = 1
batch_size = 10
block_size = 32 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 3
n_head = 4
n_embd = 64
dropout = 0.01

learning_rate = 2.5e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 50 # not super necessary potentially

device = 'cpu'  # run on cpu only
compile = False # do not torch compile the model


tokens per iteration will be: 320
found vocab_size = 54 (inside data/hawaiian_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.15M
num decayed parameter tensors: 14, with 152,960 parameters
num non-decayed parameter tensors: 7, with 448 parameters
using fused AdamW: False
step 0: train loss 4.0379, val loss 4.0419
iter 0: loss 4.0419, time 140.76ms, mfu -100.00%
iter 1: loss 4.0164, time 13.13ms, mfu -100.00%
iter 2: loss 3.9757, time 30.98ms, mfu -100.00%
iter 3: loss 3.9399, time 14.08ms, mfu -100.00%
iter 4: loss 3.8677, time 32.57ms, mfu -100.00%
iter 5: loss 3.8256, time 31.81ms, mfu 0.00%
iter 6: loss 3.7499, time 31.92ms, mfu 0.00%
iter 7: loss 3.6805, time 31.33ms, mfu 0.00%
iter 8: loss 3.6430, time 12.75ms, mfu 0.00%
iter 9: loss 3.5981, time 12.49ms, mfu 0.00%
iter 10: loss 3.5619, time 12.37ms, mfu 0.00%
iter 11: loss 3.5277, time 12.95ms, mfu 0.00%
iter 12: loss 3.4974, time 12.70ms, mfu 0.01%
iter 13: loss 3.4407, time 12.59ms, mfu 0.01%
iter 14: loss 3.4616, time 13.14ms, mfu 0.01%
iter 15: loss 3.3576, time 12.43ms, mfu 0.01%
iter 16: loss 3.3157, time 12.08ms, mfu 0.01%
iter 17: loss 3.2609, time 13.31ms, mfu 0.01%
iter 18: loss 3.1990, time 13.26ms, mfu 0.01%
iter 19: loss 3.1220, time 14.94ms, mfu 0.01%
iter 20: loss 3.0994, time 34.69ms, mfu 0.01%
iter 21: loss 3.0769, time 33.69ms, mfu 0.01%
iter 22: loss 2.9664, time 32.93ms, mfu 0.01%
iter 23: loss 2.9265, time 32.48ms, mfu 0.01%
iter 24: loss 2.8929, time 12.33ms, mfu 0.01%
iter 25: loss 2.8284, time 13.02ms, mfu 0.01%
iter 26: loss 2.8534, time 12.59ms, mfu 0.01%
iter 27: loss 2.7288, time 13.38ms, mfu 0.01%
iter 28: loss 2.7612, time 33.11ms, mfu 0.01%
iter 29: loss 2.7195, time 32.93ms, mfu 0.01%
iter 30: loss 2.5597, time 31.89ms, mfu 0.01%
iter 31: loss 2.6931, time 12.53ms, mfu 0.01%
iter 32: loss 2.5562, time 12.91ms, mfu 0.01%
iter 33: loss 2.4662, time 12.61ms, mfu 0.01%
iter 34: loss 2.5047, time 33.41ms, mfu 0.01%
iter 35: loss 2.4385, time 33.54ms, mfu 0.01%
iter 36: loss 2.4217, time 32.77ms, mfu 0.01%
iter 37: loss 2.4392, time 33.75ms, mfu 0.00%
iter 38: loss 2.4491, time 32.73ms, mfu 0.00%
iter 39: loss 2.3798, time 34.57ms, mfu 0.00%
iter 40: loss 2.2421, time 34.07ms, mfu 0.00%
iter 41: loss 2.2531, time 19.59ms, mfu 0.00%
iter 42: loss 2.3299, time 14.57ms, mfu 0.00%
iter 43: loss 2.2374, time 34.98ms, mfu 0.00%
iter 44: loss 2.2167, time 33.42ms, mfu 0.00%
iter 45: loss 2.2186, time 33.05ms, mfu 0.00%
iter 46: loss 2.3430, time 12.92ms, mfu 0.00%
iter 47: loss 2.2140, time 12.96ms, mfu 0.00%
iter 48: loss 2.2401, time 32.71ms, mfu 0.00%
iter 49: loss 2.2469, time 31.56ms, mfu 0.00%
iter 50: loss 2.1200, time 33.79ms, mfu 0.00%
iter 51: loss 2.0414, time 32.12ms, mfu 0.00%
iter 52: loss 2.2307, time 12.63ms, mfu 0.00%
iter 53: loss 2.1555, time 11.92ms, mfu 0.01%
iter 54: loss 2.1899, time 12.19ms, mfu 0.01%
iter 55: loss 2.1806, time 12.79ms, mfu 0.01%
iter 56: loss 2.0837, time 12.25ms, mfu 0.01%
iter 57: loss 2.2516, time 12.63ms, mfu 0.01%
iter 58: loss 2.1648, time 12.96ms, mfu 0.01%
iter 59: loss 2.1310, time 12.43ms, mfu 0.01%
iter 60: loss 2.1338, time 13.31ms, mfu 0.01%
iter 61: loss 2.1573, time 12.63ms, mfu 0.01%
iter 62: loss 2.0904, time 12.27ms, mfu 0.01%
iter 63: loss 2.0814, time 12.81ms, mfu 0.01%
iter 64: loss 2.0696, time 12.45ms, mfu 0.01%
iter 65: loss 1.9738, time 11.97ms, mfu 0.01%
iter 66: loss 2.1807, time 12.93ms, mfu 0.01%
iter 67: loss 2.0789, time 12.72ms, mfu 0.01%
iter 68: loss 2.1882, time 12.79ms, mfu 0.01%
iter 69: loss 2.0737, time 13.02ms, mfu 0.01%
iter 70: loss 2.0699, time 12.89ms, mfu 0.01%
iter 71: loss 1.9673, time 13.47ms, mfu 0.01%
iter 72: loss 2.0830, time 15.33ms, mfu 0.01%
iter 73: loss 2.0238, time 13.58ms, mfu 0.01%
iter 74: loss 2.1493, time 12.44ms, mfu 0.01%
iter 75: loss 1.9695, time 14.64ms, mfu 0.01%
iter 76: loss 2.1934, time 13.73ms, mfu 0.01%
iter 77: loss 2.0115, time 12.98ms, mfu 0.01%
iter 78: loss 2.0270, time 14.68ms, mfu 0.01%
iter 79: loss 1.9949, time 15.13ms, mfu 0.01%
iter 80: loss 1.9944, time 51.07ms, mfu 0.01%
iter 81: loss 2.1415, time 15.38ms, mfu 0.01%
iter 82: loss 1.9946, time 13.62ms, mfu 0.01%
iter 83: loss 2.1132, time 15.51ms, mfu 0.01%
iter 84: loss 1.9985, time 15.54ms, mfu 0.01%
iter 85: loss 2.0255, time 13.21ms, mfu 0.01%
iter 86: loss 2.1185, time 14.42ms, mfu 0.01%
iter 87: loss 1.9605, time 15.82ms, mfu 0.01%
iter 88: loss 2.0400, time 13.72ms, mfu 0.01%
iter 89: loss 2.0238, time 14.42ms, mfu 0.01%
iter 90: loss 1.9919, time 13.90ms, mfu 0.01%
iter 91: loss 2.0303, time 15.02ms, mfu 0.01%
iter 92: loss 2.0265, time 12.56ms, mfu 0.01%
iter 93: loss 1.9582, time 13.65ms, mfu 0.01%
iter 94: loss 2.0323, time 15.21ms, mfu 0.01%
iter 95: loss 2.0272, time 13.20ms, mfu 0.01%
iter 96: loss 2.0485, time 12.79ms, mfu 0.01%
iter 97: loss 2.0216, time 13.69ms, mfu 0.01%
iter 98: loss 1.9850, time 14.57ms, mfu 0.01%
iter 99: loss 2.1145, time 16.07ms, mfu 0.01%
iter 100: loss 2.0431, time 33.88ms, mfu 0.01%
iter 101: loss 1.9356, time 34.19ms, mfu 0.01%
iter 102: loss 2.0007, time 14.83ms, mfu 0.01%
iter 103: loss 2.0402, time 13.40ms, mfu 0.01%
iter 104: loss 1.9936, time 12.61ms, mfu 0.01%
iter 105: loss 2.1271, time 12.55ms, mfu 0.01%
iter 106: loss 1.9999, time 12.68ms, mfu 0.01%
iter 107: loss 1.9781, time 12.95ms, mfu 0.01%
iter 108: loss 2.1258, time 13.17ms, mfu 0.01%
iter 109: loss 2.0874, time 12.10ms, mfu 0.01%
iter 110: loss 2.0484, time 13.01ms, mfu 0.01%
iter 111: loss 1.9357, time 30.88ms, mfu 0.01%
iter 112: loss 2.0571, time 13.27ms, mfu 0.01%
iter 113: loss 2.0463, time 31.24ms, mfu 0.01%
iter 114: loss 2.1426, time 47.27ms, mfu 0.01%
iter 115: loss 2.0861, time 32.05ms, mfu 0.01%
iter 116: loss 2.0597, time 15.62ms, mfu 0.01%
iter 117: loss 1.9898, time 12.72ms, mfu 0.01%
iter 118: loss 2.0502, time 12.23ms, mfu 0.01%
iter 119: loss 2.0673, time 12.97ms, mfu 0.01%
step 120: train loss 2.0289, val loss 2.0187
saving checkpoint to out-hawaiian-char
iter 120: loss 2.0282, time 148.73ms, mfu 0.01%
iter 121: loss 2.0083, time 16.10ms, mfu 0.01%
iter 122: loss 2.0011, time 34.82ms, mfu 0.01%
iter 123: loss 2.0077, time 34.58ms, mfu 0.01%
iter 124: loss 1.9543, time 31.48ms, mfu 0.01%
iter 125: loss 2.0281, time 12.02ms, mfu 0.01%
iter 126: loss 2.1239, time 13.07ms, mfu 0.01%
iter 127: loss 1.9749, time 12.76ms, mfu 0.01%
iter 128: loss 2.0195, time 13.77ms, mfu 0.01%
iter 129: loss 1.9337, time 14.87ms, mfu 0.01%
iter 130: loss 1.9635, time 32.73ms, mfu 0.01%
iter 131: loss 2.0971, time 12.46ms, mfu 0.01%
iter 132: loss 1.9823, time 12.62ms, mfu 0.01%
iter 133: loss 1.9277, time 13.36ms, mfu 0.01%
iter 134: loss 2.0973, time 12.79ms, mfu 0.01%
iter 135: loss 1.8604, time 13.29ms, mfu 0.01%
iter 136: loss 2.0095, time 13.09ms, mfu 0.01%
iter 137: loss 1.9891, time 12.19ms, mfu 0.01%
iter 138: loss 1.9724, time 12.30ms, mfu 0.01%
iter 139: loss 1.9954, time 12.38ms, mfu 0.01%
iter 140: loss 1.9640, time 12.32ms, mfu 0.01%
iter 141: loss 2.0908, time 12.53ms, mfu 0.01%
iter 142: loss 1.9761, time 12.09ms, mfu 0.01%
iter 143: loss 2.0068, time 14.29ms, mfu 0.01%
iter 144: loss 2.0872, time 33.52ms, mfu 0.01%
iter 145: loss 2.0617, time 14.05ms, mfu 0.01%
iter 146: loss 2.1022, time 33.87ms, mfu 0.01%
iter 147: loss 1.9462, time 36.06ms, mfu 0.01%
iter 148: loss 1.9685, time 16.98ms, mfu 0.01%
iter 149: loss 2.0357, time 14.86ms, mfu 0.01%
iter 150: loss 1.9466, time 15.51ms, mfu 0.01%
