Overriding config with config/train_noli_me_tangere_char.py:
# train a miniature character-level small GPT

out_dir = 'out-noli_me_tangere-char'
eval_interval = 120 # keep frequent because we'll overfit
eval_iters = 20
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like

dataset = 'noli_me_tangere_char'
gradient_accumulation_steps = 1
batch_size = 10
block_size = 32 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 3
n_head = 4
n_embd = 64
dropout = 0.01

learning_rate = 2.5e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 50 # not super necessary potentially

device = 'cpu'  # run on cpu only
compile = False # do not torch compile the model


tokens per iteration will be: 320
found vocab_size = 82 (inside data/noli_me_tangere_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.15M
num decayed parameter tensors: 14, with 154,752 parameters
num non-decayed parameter tensors: 7, with 448 parameters
using fused AdamW: False
step 0: train loss 4.4244, val loss 4.4218
iter 0: loss 4.4108, time 372.53ms, mfu -100.00%
iter 1: loss 4.4081, time 50.13ms, mfu -100.00%
iter 2: loss 4.3834, time 33.30ms, mfu -100.00%
iter 3: loss 4.3165, time 34.15ms, mfu -100.00%
iter 4: loss 4.2671, time 31.61ms, mfu -100.00%
iter 5: loss 4.1943, time 19.80ms, mfu 0.01%
iter 6: loss 4.1182, time 30.51ms, mfu 0.00%
iter 7: loss 4.0411, time 18.13ms, mfu 0.01%
iter 8: loss 4.0361, time 30.87ms, mfu 0.00%
iter 9: loss 3.9607, time 18.43ms, mfu 0.00%
iter 10: loss 3.9786, time 32.11ms, mfu 0.00%
iter 11: loss 3.9479, time 13.33ms, mfu 0.01%
iter 12: loss 3.9162, time 13.49ms, mfu 0.01%
iter 13: loss 3.8775, time 12.61ms, mfu 0.01%
iter 14: loss 3.7914, time 12.22ms, mfu 0.01%
iter 15: loss 3.7730, time 52.69ms, mfu 0.01%
iter 16: loss 3.7244, time 35.30ms, mfu 0.01%
iter 17: loss 3.6137, time 35.30ms, mfu 0.00%
iter 18: loss 3.5864, time 35.15ms, mfu 0.00%
iter 19: loss 3.5571, time 31.71ms, mfu 0.00%
iter 20: loss 3.5535, time 12.12ms, mfu 0.00%
iter 21: loss 3.4475, time 19.20ms, mfu 0.01%
iter 22: loss 3.3518, time 31.77ms, mfu 0.00%
iter 23: loss 3.3289, time 36.58ms, mfu 0.00%
iter 24: loss 3.3161, time 32.00ms, mfu 0.00%
iter 25: loss 3.2940, time 31.25ms, mfu 0.00%
iter 26: loss 3.2582, time 55.36ms, mfu 0.00%
iter 27: loss 3.3169, time 36.29ms, mfu 0.00%
iter 28: loss 3.1121, time 12.67ms, mfu 0.00%
iter 29: loss 3.0627, time 32.04ms, mfu 0.00%
iter 30: loss 3.0166, time 30.32ms, mfu 0.00%
iter 31: loss 2.9470, time 30.46ms, mfu 0.00%
iter 32: loss 3.0344, time 31.09ms, mfu 0.00%
iter 33: loss 2.9614, time 32.43ms, mfu 0.00%
iter 34: loss 2.9020, time 31.37ms, mfu 0.00%
iter 35: loss 2.8744, time 12.78ms, mfu 0.00%
iter 36: loss 2.7739, time 31.39ms, mfu 0.00%
iter 37: loss 2.8416, time 31.09ms, mfu 0.00%
iter 38: loss 2.8091, time 31.69ms, mfu 0.00%
iter 39: loss 2.7615, time 31.13ms, mfu 0.00%
iter 40: loss 2.6690, time 32.43ms, mfu 0.00%
iter 41: loss 2.9545, time 30.81ms, mfu 0.00%
iter 42: loss 2.6918, time 12.41ms, mfu 0.00%
iter 43: loss 2.7199, time 25.37ms, mfu 0.00%
iter 44: loss 2.7216, time 31.55ms, mfu 0.00%
iter 45: loss 2.6510, time 31.06ms, mfu 0.00%
iter 46: loss 2.5956, time 13.21ms, mfu 0.00%
iter 47: loss 2.5105, time 31.75ms, mfu 0.00%
iter 48: loss 2.6744, time 11.62ms, mfu 0.00%
iter 49: loss 2.6222, time 31.86ms, mfu 0.00%
iter 50: loss 2.5497, time 31.01ms, mfu 0.00%
iter 51: loss 2.6524, time 31.27ms, mfu 0.00%
iter 52: loss 2.4851, time 13.50ms, mfu 0.00%
iter 53: loss 2.5632, time 31.88ms, mfu 0.00%
iter 54: loss 2.3719, time 11.73ms, mfu 0.00%
iter 55: loss 2.5327, time 31.73ms, mfu 0.00%
iter 56: loss 2.3634, time 32.32ms, mfu 0.00%
iter 57: loss 2.5322, time 31.41ms, mfu 0.00%
iter 58: loss 2.5044, time 12.95ms, mfu 0.00%
iter 59: loss 2.3919, time 12.17ms, mfu 0.01%
iter 60: loss 2.3968, time 12.14ms, mfu 0.01%
iter 61: loss 2.4319, time 13.09ms, mfu 0.01%
iter 62: loss 2.4976, time 16.75ms, mfu 0.01%
iter 63: loss 2.4849, time 12.79ms, mfu 0.01%
iter 64: loss 2.2956, time 13.50ms, mfu 0.01%
iter 65: loss 2.3735, time 14.77ms, mfu 0.01%
iter 66: loss 2.3846, time 15.14ms, mfu 0.01%
iter 67: loss 2.2378, time 13.37ms, mfu 0.01%
iter 68: loss 2.3870, time 12.27ms, mfu 0.01%
iter 69: loss 2.3051, time 18.89ms, mfu 0.01%
iter 70: loss 2.2781, time 13.07ms, mfu 0.01%
iter 71: loss 2.3347, time 12.83ms, mfu 0.01%
iter 72: loss 2.3953, time 13.36ms, mfu 0.01%
iter 73: loss 2.3964, time 54.76ms, mfu 0.01%
iter 74: loss 2.4372, time 32.93ms, mfu 0.01%
iter 75: loss 2.4088, time 16.23ms, mfu 0.01%
iter 76: loss 2.4887, time 31.68ms, mfu 0.01%
iter 77: loss 2.2123, time 12.70ms, mfu 0.01%
iter 78: loss 2.2867, time 16.83ms, mfu 0.01%
iter 79: loss 2.1966, time 31.15ms, mfu 0.01%
iter 80: loss 2.3964, time 15.91ms, mfu 0.01%
iter 81: loss 2.2812, time 12.52ms, mfu 0.01%
iter 82: loss 2.2902, time 12.15ms, mfu 0.01%
iter 83: loss 2.2463, time 12.95ms, mfu 0.01%
iter 84: loss 2.3556, time 33.48ms, mfu 0.01%
iter 85: loss 2.3237, time 33.41ms, mfu 0.01%
iter 86: loss 2.3478, time 31.75ms, mfu 0.01%
iter 87: loss 2.2615, time 14.89ms, mfu 0.01%
iter 88: loss 2.2064, time 12.18ms, mfu 0.01%
iter 89: loss 2.3593, time 12.65ms, mfu 0.01%
iter 90: loss 2.1563, time 16.59ms, mfu 0.01%
iter 91: loss 2.2768, time 32.45ms, mfu 0.01%
iter 92: loss 2.4238, time 13.11ms, mfu 0.01%
iter 93: loss 2.2011, time 15.98ms, mfu 0.01%
iter 94: loss 2.4675, time 30.03ms, mfu 0.01%
iter 95: loss 2.1866, time 17.19ms, mfu 0.01%
iter 96: loss 2.2200, time 12.58ms, mfu 0.01%
iter 97: loss 2.3439, time 12.23ms, mfu 0.01%
iter 98: loss 2.3176, time 15.91ms, mfu 0.01%
iter 99: loss 2.1135, time 34.28ms, mfu 0.01%
iter 100: loss 2.3042, time 16.18ms, mfu 0.01%
iter 101: loss 2.0849, time 34.18ms, mfu 0.01%
iter 102: loss 2.2670, time 14.74ms, mfu 0.01%
iter 103: loss 2.2508, time 15.11ms, mfu 0.01%
iter 104: loss 2.3332, time 11.32ms, mfu 0.01%
iter 105: loss 2.4599, time 12.06ms, mfu 0.01%
iter 106: loss 2.1255, time 16.11ms, mfu 0.01%
iter 107: loss 2.1833, time 30.45ms, mfu 0.01%
iter 108: loss 2.2344, time 14.96ms, mfu 0.01%
iter 109: loss 2.3841, time 14.82ms, mfu 0.01%
iter 110: loss 2.2116, time 12.27ms, mfu 0.01%
iter 111: loss 2.2711, time 12.40ms, mfu 0.01%
iter 112: loss 2.1386, time 16.89ms, mfu 0.01%
iter 113: loss 2.0724, time 30.92ms, mfu 0.01%
iter 114: loss 2.5264, time 19.49ms, mfu 0.01%
iter 115: loss 2.1989, time 12.26ms, mfu 0.01%
iter 116: loss 2.3678, time 11.96ms, mfu 0.01%
iter 117: loss 2.3513, time 12.71ms, mfu 0.01%
iter 118: loss 2.0709, time 18.29ms, mfu 0.01%
iter 119: loss 2.6306, time 31.56ms, mfu 0.01%
step 120: train loss 2.2622, val loss 2.2728
saving checkpoint to out-noli_me_tangere-char
iter 120: loss 2.3160, time 201.16ms, mfu 0.01%
iter 121: loss 2.2113, time 35.13ms, mfu 0.01%
iter 122: loss 2.3350, time 31.12ms, mfu 0.01%
iter 123: loss 2.2064, time 12.59ms, mfu 0.01%
iter 124: loss 2.2826, time 12.70ms, mfu 0.01%
iter 125: loss 2.4128, time 19.90ms, mfu 0.01%
iter 126: loss 2.2999, time 31.26ms, mfu 0.01%
iter 127: loss 2.2599, time 19.86ms, mfu 0.01%
iter 128: loss 2.0382, time 13.00ms, mfu 0.01%
iter 129: loss 2.2436, time 12.74ms, mfu 0.01%
iter 130: loss 2.2440, time 13.25ms, mfu 0.01%
iter 131: loss 2.3029, time 25.25ms, mfu 0.01%
iter 132: loss 2.3295, time 35.31ms, mfu 0.01%
iter 133: loss 2.2872, time 13.14ms, mfu 0.01%
iter 134: loss 2.3654, time 12.41ms, mfu 0.01%
iter 135: loss 2.2607, time 12.50ms, mfu 0.01%
iter 136: loss 2.1920, time 16.02ms, mfu 0.01%
iter 137: loss 2.1780, time 12.85ms, mfu 0.01%
iter 138: loss 2.2700, time 13.01ms, mfu 0.01%
iter 139: loss 2.2760, time 18.34ms, mfu 0.01%
iter 140: loss 2.1566, time 12.81ms, mfu 0.01%
iter 141: loss 2.3398, time 12.42ms, mfu 0.01%
iter 142: loss 2.1300, time 12.30ms, mfu 0.01%
iter 143: loss 2.2381, time 34.01ms, mfu 0.01%
iter 144: loss 2.2320, time 12.90ms, mfu 0.01%
iter 145: loss 2.1973, time 30.63ms, mfu 0.01%
iter 146: loss 2.2003, time 65.32ms, mfu 0.01%
iter 147: loss 2.3714, time 49.97ms, mfu 0.01%
iter 148: loss 2.1312, time 33.00ms, mfu 0.01%
iter 149: loss 2.1243, time 18.16ms, mfu 0.01%
