Overriding config with config/train_voynich_char.py:
# train a miniature character-level small GPT

out_dir = 'out-voynich-char'
eval_interval = 120 # keep frequent because we'll overfit
eval_iters = 20
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like

dataset = 'voynich_char'
gradient_accumulation_steps = 1
batch_size = 10
block_size = 32 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 3
n_head = 4
n_embd = 64
dropout = 0.01

learning_rate = 2.5e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 50 # not super necessary potentially

device = 'cpu'  # run on cpu only
compile = False # do not torch compile the model


tokens per iteration will be: 320
found vocab_size = 25 (inside data/voynich_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.15M
num decayed parameter tensors: 14, with 151,104 parameters
num non-decayed parameter tensors: 7, with 448 parameters
using fused AdamW: False
step 0: train loss 3.2471, val loss 3.2299
iter 0: loss 3.2004, time 144.62ms, mfu -100.00%
iter 1: loss 3.2068, time 30.44ms, mfu -100.00%
iter 2: loss 3.2101, time 11.08ms, mfu -100.00%
iter 3: loss 3.1375, time 11.23ms, mfu -100.00%
iter 4: loss 3.0925, time 11.48ms, mfu -100.00%
iter 5: loss 3.0299, time 11.00ms, mfu 0.01%
iter 6: loss 2.9549, time 32.57ms, mfu 0.01%
iter 7: loss 2.8805, time 11.51ms, mfu 0.01%
iter 8: loss 2.8356, time 11.68ms, mfu 0.01%
iter 9: loss 2.8543, time 10.86ms, mfu 0.01%
iter 10: loss 2.7795, time 11.54ms, mfu 0.01%
iter 11: loss 2.7845, time 11.39ms, mfu 0.01%
iter 12: loss 2.6789, time 11.15ms, mfu 0.01%
iter 13: loss 2.6904, time 11.22ms, mfu 0.01%
iter 14: loss 2.6559, time 10.90ms, mfu 0.01%
iter 15: loss 2.6684, time 31.81ms, mfu 0.01%
iter 16: loss 2.5852, time 12.09ms, mfu 0.01%
iter 17: loss 2.5692, time 11.69ms, mfu 0.01%
iter 18: loss 2.5405, time 11.43ms, mfu 0.01%
iter 19: loss 2.5307, time 12.29ms, mfu 0.01%
iter 20: loss 2.4265, time 30.33ms, mfu 0.01%
iter 21: loss 2.4290, time 12.03ms, mfu 0.01%
iter 22: loss 2.4320, time 12.92ms, mfu 0.01%
iter 23: loss 2.2864, time 12.95ms, mfu 0.01%
iter 24: loss 2.3381, time 13.23ms, mfu 0.01%
iter 25: loss 2.2782, time 27.21ms, mfu 0.01%
iter 26: loss 2.2858, time 26.69ms, mfu 0.01%
iter 27: loss 2.2562, time 25.68ms, mfu 0.01%
iter 28: loss 2.2006, time 23.85ms, mfu 0.01%
iter 29: loss 2.2013, time 23.50ms, mfu 0.01%
iter 30: loss 2.2016, time 31.37ms, mfu 0.01%
iter 31: loss 2.1534, time 36.43ms, mfu 0.01%
iter 32: loss 2.1619, time 43.20ms, mfu 0.01%
iter 33: loss 2.0564, time 14.86ms, mfu 0.01%
iter 34: loss 1.9346, time 14.65ms, mfu 0.01%
iter 35: loss 1.9707, time 12.36ms, mfu 0.01%
iter 36: loss 1.8442, time 12.05ms, mfu 0.01%
iter 37: loss 1.8979, time 11.10ms, mfu 0.01%
iter 38: loss 1.8886, time 32.29ms, mfu 0.01%
iter 39: loss 1.9053, time 33.45ms, mfu 0.01%
iter 40: loss 1.8801, time 32.85ms, mfu 0.01%
iter 41: loss 1.7890, time 32.05ms, mfu 0.01%
iter 42: loss 1.9638, time 36.26ms, mfu 0.00%
iter 43: loss 1.8687, time 54.90ms, mfu 0.00%
iter 44: loss 1.8739, time 34.93ms, mfu 0.00%
iter 45: loss 1.8716, time 59.59ms, mfu 0.00%
iter 46: loss 1.7248, time 40.53ms, mfu 0.00%
iter 47: loss 1.8220, time 38.12ms, mfu 0.00%
iter 48: loss 1.7396, time 36.55ms, mfu 0.00%
iter 49: loss 1.7859, time 35.67ms, mfu 0.00%
iter 50: loss 1.7312, time 18.23ms, mfu 0.00%
iter 51: loss 1.6537, time 18.65ms, mfu 0.00%
iter 52: loss 1.7407, time 17.00ms, mfu 0.00%
iter 53: loss 1.7421, time 13.69ms, mfu 0.00%
iter 54: loss 1.8454, time 32.55ms, mfu 0.00%
iter 55: loss 2.0216, time 33.09ms, mfu 0.00%
iter 56: loss 1.6802, time 13.67ms, mfu 0.00%
iter 57: loss 1.6907, time 13.49ms, mfu 0.00%
iter 58: loss 1.5786, time 13.81ms, mfu 0.01%
iter 59: loss 1.6352, time 12.20ms, mfu 0.01%
iter 60: loss 1.7276, time 14.03ms, mfu 0.01%
iter 61: loss 1.6835, time 13.09ms, mfu 0.01%
iter 62: loss 1.7507, time 13.25ms, mfu 0.01%
iter 63: loss 1.6916, time 13.81ms, mfu 0.01%
iter 64: loss 1.6579, time 14.92ms, mfu 0.01%
iter 65: loss 1.6065, time 19.26ms, mfu 0.01%
iter 66: loss 1.6770, time 17.51ms, mfu 0.01%
iter 67: loss 1.7617, time 17.63ms, mfu 0.01%
iter 68: loss 1.6949, time 16.71ms, mfu 0.01%
iter 69: loss 1.8298, time 16.83ms, mfu 0.01%
iter 70: loss 1.7479, time 17.64ms, mfu 0.01%
iter 71: loss 1.6254, time 16.17ms, mfu 0.01%
iter 72: loss 1.7062, time 16.04ms, mfu 0.01%
iter 73: loss 1.7331, time 16.25ms, mfu 0.01%
iter 74: loss 1.7994, time 16.40ms, mfu 0.01%
iter 75: loss 1.5106, time 16.76ms, mfu 0.01%
iter 76: loss 1.6331, time 15.88ms, mfu 0.01%
iter 77: loss 1.5996, time 16.59ms, mfu 0.01%
iter 78: loss 1.7853, time 15.26ms, mfu 0.01%
iter 79: loss 1.7493, time 15.07ms, mfu 0.01%
iter 80: loss 1.6495, time 14.92ms, mfu 0.01%
iter 81: loss 1.8841, time 15.72ms, mfu 0.01%
iter 82: loss 1.6052, time 15.61ms, mfu 0.01%
iter 83: loss 1.5528, time 17.32ms, mfu 0.01%
iter 84: loss 1.7262, time 19.23ms, mfu 0.01%
iter 85: loss 1.7230, time 17.78ms, mfu 0.01%
iter 86: loss 1.6609, time 16.93ms, mfu 0.01%
iter 87: loss 1.6394, time 16.99ms, mfu 0.01%
iter 88: loss 1.5488, time 16.59ms, mfu 0.01%
iter 89: loss 1.7512, time 18.14ms, mfu 0.01%
iter 90: loss 1.6069, time 16.75ms, mfu 0.01%
iter 91: loss 1.6397, time 18.08ms, mfu 0.01%
iter 92: loss 1.6487, time 18.33ms, mfu 0.01%
iter 93: loss 1.5837, time 16.93ms, mfu 0.01%
iter 94: loss 1.6190, time 18.23ms, mfu 0.01%
iter 95: loss 1.5281, time 16.40ms, mfu 0.01%
iter 96: loss 1.5214, time 24.91ms, mfu 0.01%
iter 97: loss 1.4714, time 20.77ms, mfu 0.01%
iter 98: loss 1.7355, time 24.11ms, mfu 0.01%
iter 99: loss 1.7233, time 18.58ms, mfu 0.01%
iter 100: loss 1.6932, time 17.14ms, mfu 0.01%
iter 101: loss 1.5665, time 17.98ms, mfu 0.01%
iter 102: loss 1.7666, time 18.56ms, mfu 0.01%
iter 103: loss 1.5844, time 43.43ms, mfu 0.01%
iter 104: loss 1.6778, time 33.75ms, mfu 0.00%
iter 105: loss 1.6954, time 14.62ms, mfu 0.01%
iter 106: loss 1.7828, time 15.32ms, mfu 0.01%
iter 107: loss 1.5399, time 12.95ms, mfu 0.01%
iter 108: loss 1.4626, time 11.30ms, mfu 0.01%
iter 109: loss 1.6967, time 31.55ms, mfu 0.01%
iter 110: loss 1.7149, time 11.33ms, mfu 0.01%
iter 111: loss 1.6437, time 11.83ms, mfu 0.01%
iter 112: loss 1.5373, time 10.82ms, mfu 0.01%
iter 113: loss 1.5612, time 10.90ms, mfu 0.01%
iter 114: loss 1.5595, time 11.78ms, mfu 0.01%
iter 115: loss 1.5773, time 11.41ms, mfu 0.01%
iter 116: loss 1.6740, time 10.64ms, mfu 0.01%
iter 117: loss 1.7441, time 11.48ms, mfu 0.01%
iter 118: loss 1.5494, time 11.16ms, mfu 0.01%
iter 119: loss 1.6501, time 11.36ms, mfu 0.01%
step 120: train loss 1.6656, val loss 1.5521
saving checkpoint to out-voynich-char
iter 120: loss 1.6880, time 142.61ms, mfu 0.01%
iter 121: loss 1.5602, time 14.02ms, mfu 0.01%
iter 122: loss 1.5938, time 13.51ms, mfu 0.01%
iter 123: loss 1.5617, time 15.22ms, mfu 0.01%
iter 124: loss 1.5904, time 15.61ms, mfu 0.01%
iter 125: loss 1.5485, time 15.10ms, mfu 0.01%
iter 126: loss 1.5560, time 14.45ms, mfu 0.01%
iter 127: loss 1.5846, time 51.95ms, mfu 0.01%
iter 128: loss 1.8396, time 20.61ms, mfu 0.01%
iter 129: loss 1.5089, time 19.21ms, mfu 0.01%
iter 130: loss 1.6194, time 32.45ms, mfu 0.01%
iter 131: loss 1.6011, time 34.39ms, mfu 0.01%
iter 132: loss 1.7728, time 32.78ms, mfu 0.01%
iter 133: loss 1.6469, time 13.20ms, mfu 0.01%
iter 134: loss 1.4924, time 34.41ms, mfu 0.01%
iter 135: loss 1.6281, time 51.83ms, mfu 0.00%
iter 136: loss 1.6492, time 33.68ms, mfu 0.00%
iter 137: loss 1.4883, time 34.39ms, mfu 0.00%
iter 138: loss 1.6712, time 34.02ms, mfu 0.00%
iter 139: loss 1.6436, time 14.12ms, mfu 0.00%
iter 140: loss 1.5397, time 13.75ms, mfu 0.00%
iter 141: loss 1.7356, time 13.91ms, mfu 0.01%
iter 142: loss 1.7198, time 13.50ms, mfu 0.01%
iter 143: loss 1.8123, time 13.99ms, mfu 0.01%
iter 144: loss 1.6801, time 13.54ms, mfu 0.01%
iter 145: loss 1.4016, time 14.10ms, mfu 0.01%
iter 146: loss 1.4986, time 34.66ms, mfu 0.01%
iter 147: loss 1.5400, time 36.89ms, mfu 0.01%
iter 148: loss 1.5434, time 13.46ms, mfu 0.01%
iter 149: loss 1.4873, time 12.17ms, mfu 0.01%
iter 150: loss 1.5484, time 13.27ms, mfu 0.01%
