Overriding config with config/train_voynich_wordscramble_char.py:
# train a miniature character-level small GPT

out_dir = 'out-voynich-wordscramble-char'
eval_interval = 120 # keep frequent because we'll overfit
eval_iters = 20
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like

dataset = 'voynich_wordscramble_char'
gradient_accumulation_steps = 1
batch_size = 10
block_size = 32 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 3
n_head = 4
n_embd = 64
dropout = 0.01

learning_rate = 2.5e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 50 # not super necessary potentially

device = 'cpu'  # run on cpu only
compile = False # do not torch compile the model


tokens per iteration will be: 320
found vocab_size = 25 (inside data/voynich_wordscramble_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.15M
num decayed parameter tensors: 14, with 151,104 parameters
num non-decayed parameter tensors: 7, with 448 parameters
using fused AdamW: False
step 0: train loss 3.2435, val loss 3.2411
iter 0: loss 3.2356, time 652.00ms, mfu -100.00%
iter 1: loss 3.2199, time 34.80ms, mfu -100.00%
iter 2: loss 3.2022, time 32.46ms, mfu -100.00%
iter 3: loss 3.1420, time 34.92ms, mfu -100.00%
iter 4: loss 3.1009, time 33.59ms, mfu -100.00%
iter 5: loss 3.0110, time 32.69ms, mfu 0.00%
iter 6: loss 2.9793, time 34.25ms, mfu 0.00%
iter 7: loss 2.9236, time 31.39ms, mfu 0.00%
iter 8: loss 2.8927, time 31.63ms, mfu 0.00%
iter 9: loss 2.8404, time 40.78ms, mfu 0.00%
iter 10: loss 2.7810, time 34.62ms, mfu 0.00%
iter 11: loss 2.6919, time 34.90ms, mfu 0.00%
iter 12: loss 2.8050, time 34.07ms, mfu 0.00%
iter 13: loss 2.6451, time 34.81ms, mfu 0.00%
iter 14: loss 2.6640, time 36.53ms, mfu 0.00%
iter 15: loss 2.6167, time 33.96ms, mfu 0.00%
iter 16: loss 2.5720, time 35.68ms, mfu 0.00%
iter 17: loss 2.4982, time 36.84ms, mfu 0.00%
iter 18: loss 2.5446, time 35.76ms, mfu 0.00%
iter 19: loss 2.4391, time 35.19ms, mfu 0.00%
iter 20: loss 2.4474, time 34.84ms, mfu 0.00%
iter 21: loss 2.4087, time 34.21ms, mfu 0.00%
iter 22: loss 2.3551, time 31.11ms, mfu 0.00%
iter 23: loss 2.3592, time 15.79ms, mfu 0.00%
iter 24: loss 2.3652, time 32.86ms, mfu 0.00%
iter 25: loss 2.2967, time 14.11ms, mfu 0.00%
iter 26: loss 2.2706, time 34.50ms, mfu 0.00%
iter 27: loss 2.1756, time 18.12ms, mfu 0.00%
iter 28: loss 2.2745, time 34.55ms, mfu 0.00%
iter 29: loss 2.1402, time 15.61ms, mfu 0.00%
iter 30: loss 2.1483, time 34.55ms, mfu 0.00%
iter 31: loss 2.0969, time 17.61ms, mfu 0.00%
iter 32: loss 2.1384, time 36.59ms, mfu 0.00%
iter 33: loss 2.0523, time 34.95ms, mfu 0.00%
iter 34: loss 2.0555, time 16.08ms, mfu 0.00%
iter 35: loss 1.9803, time 33.33ms, mfu 0.00%
iter 36: loss 1.8470, time 33.39ms, mfu 0.00%
iter 37: loss 1.9384, time 32.96ms, mfu 0.00%
iter 38: loss 1.9292, time 35.26ms, mfu 0.00%
iter 39: loss 1.8718, time 50.77ms, mfu 0.00%
iter 40: loss 1.8779, time 18.92ms, mfu 0.00%
iter 41: loss 1.8606, time 36.07ms, mfu 0.00%
iter 42: loss 1.7289, time 33.84ms, mfu 0.00%
iter 43: loss 1.7390, time 39.33ms, mfu 0.00%
iter 44: loss 1.7206, time 34.86ms, mfu 0.00%
iter 45: loss 1.8661, time 38.89ms, mfu 0.00%
iter 46: loss 1.7631, time 33.91ms, mfu 0.00%
iter 47: loss 1.7815, time 35.42ms, mfu 0.00%
iter 48: loss 1.8259, time 33.72ms, mfu 0.00%
iter 49: loss 1.6998, time 30.94ms, mfu 0.00%
iter 50: loss 1.6374, time 32.08ms, mfu 0.00%
iter 51: loss 1.7026, time 33.97ms, mfu 0.00%
iter 52: loss 1.7520, time 33.62ms, mfu 0.00%
iter 53: loss 1.6651, time 31.95ms, mfu 0.00%
iter 54: loss 1.6289, time 32.06ms, mfu 0.00%
iter 55: loss 1.6708, time 32.70ms, mfu 0.00%
iter 56: loss 1.9919, time 31.56ms, mfu 0.00%
iter 57: loss 1.7725, time 34.34ms, mfu 0.00%
iter 58: loss 1.6616, time 49.39ms, mfu 0.00%
iter 59: loss 1.6092, time 16.06ms, mfu 0.00%
iter 60: loss 1.6916, time 32.39ms, mfu 0.00%
iter 61: loss 1.6355, time 33.45ms, mfu 0.00%
iter 62: loss 1.5201, time 32.78ms, mfu 0.00%
iter 63: loss 1.6560, time 34.51ms, mfu 0.00%
iter 64: loss 1.6678, time 33.96ms, mfu 0.00%
iter 65: loss 1.7214, time 31.64ms, mfu 0.00%
iter 66: loss 1.5827, time 33.55ms, mfu 0.00%
iter 67: loss 1.7469, time 31.57ms, mfu 0.00%
iter 68: loss 1.6372, time 30.83ms, mfu 0.00%
iter 69: loss 1.6779, time 12.93ms, mfu 0.00%
iter 70: loss 1.7489, time 33.40ms, mfu 0.00%
iter 71: loss 1.5938, time 32.99ms, mfu 0.00%
iter 72: loss 1.6164, time 33.24ms, mfu 0.00%
iter 73: loss 1.5658, time 31.74ms, mfu 0.00%
iter 74: loss 1.6024, time 32.89ms, mfu 0.00%
iter 75: loss 1.7161, time 30.37ms, mfu 0.00%
iter 76: loss 1.6940, time 34.00ms, mfu 0.00%
iter 77: loss 1.5632, time 17.61ms, mfu 0.00%
iter 78: loss 1.6545, time 33.76ms, mfu 0.00%
iter 79: loss 1.4711, time 31.88ms, mfu 0.00%
iter 80: loss 1.6937, time 31.22ms, mfu 0.00%
iter 81: loss 1.6957, time 32.95ms, mfu 0.00%
iter 82: loss 1.5992, time 31.36ms, mfu 0.00%
iter 83: loss 1.5971, time 32.01ms, mfu 0.00%
iter 84: loss 1.5967, time 31.10ms, mfu 0.00%
iter 85: loss 1.5741, time 34.13ms, mfu 0.00%
iter 86: loss 1.6164, time 33.59ms, mfu 0.00%
iter 87: loss 1.6225, time 15.77ms, mfu 0.00%
iter 88: loss 1.4885, time 34.92ms, mfu 0.00%
iter 89: loss 1.6020, time 16.25ms, mfu 0.00%
iter 90: loss 1.5082, time 35.04ms, mfu 0.00%
iter 91: loss 1.6789, time 37.03ms, mfu 0.00%
iter 92: loss 1.7291, time 33.11ms, mfu 0.00%
iter 93: loss 1.7044, time 31.55ms, mfu 0.00%
iter 94: loss 1.6403, time 31.10ms, mfu 0.00%
iter 95: loss 1.7545, time 32.84ms, mfu 0.00%
iter 96: loss 1.6078, time 31.31ms, mfu 0.00%
iter 97: loss 1.4823, time 14.33ms, mfu 0.00%
iter 98: loss 1.5826, time 34.08ms, mfu 0.00%
iter 99: loss 1.7401, time 17.51ms, mfu 0.00%
iter 100: loss 1.6500, time 36.38ms, mfu 0.00%
iter 101: loss 1.6304, time 33.35ms, mfu 0.00%
iter 102: loss 1.7159, time 33.15ms, mfu 0.00%
iter 103: loss 1.5013, time 32.82ms, mfu 0.00%
iter 104: loss 1.6289, time 14.65ms, mfu 0.00%
iter 105: loss 1.5890, time 33.38ms, mfu 0.00%
iter 106: loss 1.5004, time 14.38ms, mfu 0.00%
iter 107: loss 1.5363, time 32.77ms, mfu 0.00%
iter 108: loss 1.6621, time 12.65ms, mfu 0.00%
iter 109: loss 1.6135, time 31.73ms, mfu 0.00%
iter 110: loss 1.7686, time 32.11ms, mfu 0.00%
iter 111: loss 1.6491, time 33.48ms, mfu 0.00%
iter 112: loss 1.5742, time 34.32ms, mfu 0.00%
iter 113: loss 1.6114, time 33.78ms, mfu 0.00%
iter 114: loss 1.5823, time 31.88ms, mfu 0.00%
iter 115: loss 1.5423, time 35.36ms, mfu 0.00%
iter 116: loss 1.7611, time 34.31ms, mfu 0.00%
iter 117: loss 1.6033, time 31.77ms, mfu 0.00%
iter 118: loss 1.5602, time 32.35ms, mfu 0.00%
iter 119: loss 1.5069, time 33.12ms, mfu 0.00%
step 120: train loss 1.6041, val loss 1.5496
saving checkpoint to out-voynich-wordscramble-char
iter 120: loss 1.5380, time 477.61ms, mfu 0.00%
iter 121: loss 1.6709, time 14.71ms, mfu 0.00%
iter 122: loss 1.4983, time 35.16ms, mfu 0.00%
iter 123: loss 1.5436, time 15.08ms, mfu 0.00%
iter 124: loss 1.5538, time 33.59ms, mfu 0.00%
iter 125: loss 1.6720, time 15.78ms, mfu 0.00%
iter 126: loss 1.5726, time 38.56ms, mfu 0.00%
iter 127: loss 1.5460, time 51.09ms, mfu 0.00%
iter 128: loss 1.4717, time 35.14ms, mfu 0.00%
iter 129: loss 1.6292, time 36.20ms, mfu 0.00%
iter 130: loss 1.6587, time 18.21ms, mfu 0.00%
iter 131: loss 1.5424, time 34.25ms, mfu 0.00%
iter 132: loss 1.5773, time 35.00ms, mfu 0.00%
iter 133: loss 1.5808, time 37.24ms, mfu 0.00%
iter 134: loss 1.6103, time 34.92ms, mfu 0.00%
iter 135: loss 1.5352, time 35.18ms, mfu 0.00%
iter 136: loss 1.6236, time 32.90ms, mfu 0.00%
iter 137: loss 1.5930, time 35.26ms, mfu 0.00%
iter 138: loss 1.7831, time 20.31ms, mfu 0.00%
iter 139: loss 1.5744, time 35.98ms, mfu 0.00%
iter 140: loss 1.5851, time 34.11ms, mfu 0.00%
iter 141: loss 1.6079, time 34.26ms, mfu 0.00%
iter 142: loss 1.6632, time 33.90ms, mfu 0.00%
iter 143: loss 1.5429, time 15.49ms, mfu 0.00%
iter 144: loss 1.7269, time 35.58ms, mfu 0.00%
iter 145: loss 1.5579, time 16.01ms, mfu 0.00%
iter 146: loss 1.6057, time 34.86ms, mfu 0.00%
iter 147: loss 1.5046, time 23.50ms, mfu 0.00%
iter 148: loss 1.5519, time 55.22ms, mfu 0.00%
iter 149: loss 1.7670, time 53.40ms, mfu 0.00%
